User ID	Retweets	Favorites	Has_url	Polarity	Popularity	numMentions	Labels	follower_ids
2791121294.0	3278.0	3.0	12.0	13.1433	3281.0	99.0	198	[718246085190414337, 43287329, 722874740826701824, 722646586510151680, 4886191420, 722588262326374401, 111225697, 1531974344, 347627434, 819668389, 29023872, 404470529, 702780246026752000, 3891703408, 4386946815, 712772376870522880, 558369903, 364170889, 1455286956, 706990537799131136, 10255692, 369172994, 61149653, 14613185, 3104545022, 714938103824310273, 714932191168479234, 4911172133, 3581776997, 713880240678772736, 709897775362605056, 713408458473639936, 3656092409, 705442898188210177, 53010355, 2393063119, 4879819876, 711717378350911489, 4867141599, 721917069986557952, 143123814, 1950799526, 714920195400269826, 237888723, 705645123606966272, 2761898817, 4667313217, 1345580348, 715783841382838273, 1727699204, 56449803, 3324614036, 208083510, 707675068705284096, 712391107439665152, 3271255423, 968299640, 3590632753, 2426179058, 3367987133, 721996071979892736, 19173608, 3661168817, 4379399718, 4005012459, 4893125805, 721364629927145473, 700430991723204608, 4729317440, 3224850985, 326665662, 14645160, 1563916915, 719211087716073473, 720341260993560576, 1620539378, 98282153, 2233353242, 4852459831, 3745023675, 717160724787646465, 3316868654, 4414699213, 715436933350969344, 718949896863289346, 709466255393042432, 705610669110890496, 710640952096923648, 2749858280, 3279902600, 3886015993, 4485045432, 708973615291764736, 718321945683574784, 17536486, 713200583113449472, 50462805, 712111278265868290, 717950516496445440, 705942668866658304, ...]
2806977060	3206.0	3.0	17.0	9.5439	3209.0	54.0	117	[700443244786798592, 1398184584, 186584387, 143330700, 4386946815, 114860533, 469329763, 1113512192, 1345580348, 3694282641, 2802658657, 544180864, 340970752, 4888781418, 266152718, 4870042565, 4470792081, 2944115695, 378312047, 320948281, 4122226696, 1454488878, 2863088809, 904587308, 4725774200, 78486402, 3063615107, 3775803448, 4668806968, 3557841074, 2855642709, 4449537796, 4467099861, 4555048735, 393756935, 316405098, 4342854076, 3351910919, 388091944, 383465756, 1216953829, 3147478584, 284565044, 21383367, 333688436, 2692233198, 2834741012, 2786395269, 2842435444, 83435830, 2794782427, 171490952, 4236004055, 2822871973, 14976478, 49933282, 22805900, 374227012, 1950799526, 4120145470, 4075484366, 75425858, 2448318350, 3963855317, 275653130, 19351599, 1077607729, 2374600766, 3094232415, 535222091, 1531368576, 317732425, 104790170, 16114518, 2820453761, 266983729, 990639804, 3245225323, 3368222885, 349586095, 25060654, 3027562528, 2908997484, 2952909383, 2804088314, 33996870, 3315651085, 3244875996, 3764779277, 792807205, 2935362498, 2871006265, 60040299, 2761898817, 1646360521, 209669688, 59976617, 276662732, 2916604288, 448638986, ...]
293758378	2622.0	0.0	3.0	1.737	2622.0	9.0	32	[3284112337, 3950586455, 4705956776, 2956507309, 719907552901918720, 712594870142013440, 1870223119, 3307811597, 4513069883, 4839304191, 439267469, 2203755894, 2550074857, 2786244413, 3989295372, 14645160, 347035301, 20944649, 2289037012, 4157946957, 2370624044, 318101964, 2379003705, 15566199, 23307970, 2423872206, 2499485432, 3258429445, 2914937290, 834554893, 1716419402, 488361373, 3216862919, 392241108, 1626389202, 2874090459, 2773936799, 131273661, 2765738045, 2772264097, 2850707357, 108155579, 2690980352, 15595780, 2598183050, 2782756512, 2814199862, 2801269189, 2755679168, 161469460, 180548361, 204447420, 1227418316, 180922583, 2212150973, 716711347, 580439680, 75254621, 130263765, 1260493332, 314908028, 164011139, 64083835, 117699379, 1645652473, 1365551472, 206950967, 1356680677, 55420433, 53911859, 41805665, 1424563088, 29110681, 229237886, 40417914, 406499974, 355447677]
524901955.0	2576.0	15.0	4.0	3.1823	2591.0	17.0	64	[4555185854, 16906660, 3236447924, 709461702564311040, 42834939, 4236806414, 4109929529, 328673472, 122194792, 3343448255, 708973615291764736, 4874707769, 2446676017, 721832435214778368, 385997636, 3263121643, 275005190, 948620149, 4055814263, 212229592, 2489364475, 61052836, 1625288022, 23919418, 3219816631, 718550672732499968, 4230369863, 482597350, 719758326846865408, 2592330638, 75883640, 3040307398, 577383147, 3092205760, 1950799526, 21381909, 3390665254, 700486164495503360, 27049695, 110835004, 2940323720, 4429531393, 933608478, 723160843, 439170402, 261326494, 35231502, 544001732, 4194112167, 374138602, 1152860286, 3638986761, 4919560499, 1345580348, 1958081648, 904587308, 849029940, 27667643, 711654207091249152, 2832342387, 700896273642160128, 715342133691965442, 4386946815, 499230066, 35084169, 4821135339, 242017731, 3110360439, 3990005055, 708617760075599872, 41873202, 4881801554, 708833448761249792, 3782955012, 445608258, 2208392340, 2957879799, 2579703422, 3069068019, 707849530428026880, 362400064, 2573792732, 710613421054664704, 260042196, 157886521, 708240700689616896, 260904559, 3100086245, 4264655555, 1514301096, 1852488133, 3033374716, 1453424635, 3308456234, 1935089888, 2954403115, 1572156842, 24603971, 975245400, 288063956, ...]
2421921523	2391.0	0.0	13.0	11.8189	2391.0	62.0	168	[722720972852211713, 1345580348, 3997939395, 702337479249141760, 3543696137, 246160575, 721256388446576641, 3903217291, 23617671, 720960063213580288, 3346986731, 275276082, 4329476897, 2369732305, 718577714983075840, 705674678480695297, 4886191420, 4386946815, 2272138994, 522682691, 2855694848, 3219848004, 837954758, 2872027562, 1173450415, 719120214684790785, 586134962, 64721998, 3310218359, 4102001608, 60014473, 114860533, 201109966, 1659724682, 3808803497, 2888132107, 16703058, 2567904974, 712467443160059904, 16428093, 3745990517, 1113007782, 4274295213, 2799751139, 695370267850199042, 1439547560, 795561996, 3398973094, 569005559, 2657503942, 3824286316, 4097888173, 2961906996, 3939396622, 702655782475702274, 4915563525, 702171022678560768, 3223130809, 3111278345, 4872286983, 4873532445, 4853587748, 340970752, 694879710539595776, 4874070454, 4853661674, 4853532074, 4874016880, 4873651594, 4853432832, 4853753875, 4873539129, 4877092881, 4880735108, 934544498, 3297324506, 1443411380, 4449537796, 4730373476, 4828937494, 312074367, 2571507732, 3216913377, 4831259062, 3391008628, 4015682026, 4713212953, 266152718, 4749608450, 3320822623, 2386059667, 4731339614, 2693988803, 225996561, 4582202473, 3352612113, 18225578, 463423541, 4711328323, 2358246756, ...]
332425505.0	4260.0	0.0	1.0	3.5116	4260.0	13.0	65	[716362479698317313, 1345580348, 14945367, 2407759274, 1518849144, 17772686, 83210158, 49822643, 4864368203, 4865897369, 4687795201, 4504527400, 1443788167, 3064568885, 836941, 21512379, 2810371418, 457965637, 1649656110, 3058765355, 16257260, 764571518, 3296291727, 3248387125, 3254378722, 3107442644, 14187770, 261086350, 3072088512, 20263424, 14534256, 56893, 1604885694, 2986657415, 489217593, 17372924, 21288050, 2917403341, 2913355094, 17117817, 2830523455, 35700824, 50165373, 32986076, 27697140, 2698480764, 111385553, 526330122, 2231485591, 138005905, 386234469, 25896124, 15934321, 28441180, 2500730838, 29844768, 9638102, 46209461, 27831847, 23282792, 15607746, 537439220, 2635518529, 974333012, 894291260, 2539093938, 2523292286, 2508832076, 17036020, 2469203731, 2448445291, 54792009, 150469077, 100697802, 516756446, 14065677, 799252303, 47509797, 59802945, 85048313, 82230040, 31201768, 1487494208, 1165840591, 1932637868, 14500711, 24855264, 7536412, 1375288597, 42492232, 33487487, 1152659239, 367244981, 107716404, 5751402, 15982882, 223753765, 53690062, 20536785, 16368032, ...]
1265807251	3781.0	0.0	0.0	2.809	3781.0	20.0	75	[2319349688, 2197260409, 62533716, 4469474669, 3263400241, 3610943780, 3166107756, 1249738825, 229980552, 17820540, 280833737, 3311168944, 185015930, 519830368, 3140733807, 3104712439, 2999089170, 167023958, 3034088814, 3021031746, 43438089, 2937945394, 138775957, 257574266, 1521398738, 2906718590, 1909272583, 17467023, 17097703, 1684625450, 163165271, 1611699552, 1353200894, 814435975, 2278410421, 274185010, 119414385, 1216880197, 8457302, 243901010, 1084217197, 310292203, 316115980, 705860426, 14966163, 80371551, 1401212707, 36993162, 312747702, 373901449, 1020934662, 337007667, 2800213089, 125242081, 1872375469, 19742438, 577489166, 1166831280, 42067255, 2496523406, 2354949822, 1195982509, 1202382162, 34661193, 121542992, 113160083, 519985383, 20771468]
20066020	3775.0	0.0	3.0	5.1677	3775.0	23.0	95	[3196480536, 713719991661670400, 720138003922878464, 706567938040434689, 454371846, 1480215145, 256203095, 3434532034, 2340909272, 549208954, 705761227960508418, 45843450, 4577461523, 182384817, 4440569482, 4442622383, 19375540, 265355451, 2444611340, 3230636657, 3159382170, 2992429465, 405821989, 3957433887, 50790043, 2419354842, 20452140, 3234460958, 3091375114, 17097703, 3249393495, 303604894, 635024437, 2358993717, 236665039, 3100115712, 1469761489, 633538764, 176203835, 833571, 7019062, 2177174390, 132389779, 33334610, 2790763692, 958284511, 64488804, 167744044, 2507658823, 2747502614, 146114262, 42067255, 2823853677, 14966163, 283660297, 212847101, 14375294, 2696939995, 750146923, 2445577673, 2650452774, 1684625450, 56797488, 743602465, 2800324963, 19623009, 1870041912, 38101193, 253006969, 26637305, 37599351, 977055895, 378973128, 2293436504, 2558368699, 44024932, 99859136, 2468077849, 14818322, 840039265, 357258130, 304204713, 802585, 597702421, 1237870596, 59902668, 2231606006, 2300470279, 174355307, 1967758578, 1970439756, 1895752970, 17561025, 377435326, 204332491, 1712713788, 898245151, 15341629, 33219902, 1510617331, ...]
2311435027	2162.0	0.0	2.0	5.4739	2162.0	25.0	102	[2991425599, 4848403533, 721256388446576641, 88168692, 722071263926206464, 1722795805, 607243942, 720637131605942272, 717160724787646465, 3964945519, 3313083012, 591468864, 719278565859192832, 694943354778435584, 718990302485196804, 719258555564433408, 2839523044, 718191084552200192, 718430782046531584, 27450176, 714630758673977345, 2331010387, 198455241, 3961310477, 907884296, 2820960585, 2152031083, 4897691264, 4386946815, 721305774, 707719000898273280, 128791649, 3082097360, 703171863724208128, 715214524949901312, 539100892, 714988285123100672, 4925426225, 703715074616254464, 3602827516, 16703058, 701266694875041792, 3808803497, 713183178849128448, 574196340, 1933409528, 4877092881, 3185005400, 711558521670787073, 284100142, 4504649705, 4885663749, 32279861, 49772593, 42957501, 4765702119, 18730682, 65949437, 702491487632826373, 801193910, 4892800857, 1064591, 4844934143, 705988059855106048, 39067136, 1675128804, 64249966, 4291788023, 4917035277, 703949419272658944, 4198141815, 701985977108078592, 3250962678, 702201788250738693, 1331400018, 580170838, 702368215784095744, 2937574099, 701838778793590786, 2307800074, 4924505120, 340970752, 3107110095, 78161129, 2248331648, 49324978, 804449376, 4880735108, 2695258633, 4310129687, 289873832, 4865212071, 4828731921, 30500021, 4077218778, 27667643, 266152718, 370827550, 3248141058, 4778243190, ...]
2814008060	2136.0	0.0	1.0	2.4675	2136.0	9.0	42	[2871404379, 338764812, 2162961668, 1323366451, 3197733075, 1221486553, 3381190151, 19015287, 3381452483, 370827550, 2954999301, 2786407828, 2837718577, 983810852, 3102084557, 49878705, 2875135938, 795561996, 599777096, 558908598, 1933042237, 2372880199, 60784269, 3075683053, 2441656362, 116375949, 2987613632, 2842209945, 28478793, 2987605712, 3196925353, 3189903732, 2871504424, 3187005578, 79243628, 3249995009, 17907265, 292858318, 701166529, 1730320867, 2885859740, 3187798135, 2977968005, 2517916948, 542334064, 3235183858, 17944711, 3185533727, 2882509938, 354961568, 2886177579, 2832326409, 1056333654, 3179401705, 19448118, 3215199772, 3141225003, 2430165854, 108671131, 2696950669, 82884121, 21779975, 3044945416, 2875316333, 15477254, 2888132107, 63290127, 3165965225, 29292341, 139754706, 2949240449, 2830537024, 2833345254, 2937680624, 3167030909, 2874430529, 6097862, 15035654, 2847657333, 3146720791, 1686315325, 2803927925, 849029940, 1414322052, 3035382864, 87722354, 2836528966, 37430405, 2413817191, 259808059, 15995809, 2391349315, 2937441030, 566492902, 2890519873, 2821042888, 2355244596, 2879163272, 3065755409, 2825424787, ...]
